Avg_temp,Avg_humidity,Avg_dewpoint,Avg_barometer,Avg_windspeed,Avg_gustspeed,Avg_direction,Rainfall_for_month,Rainfall_for_year,max_rain_per_min,max_temp,min_temp,max_humidity,min_humidity,max_pressure,min_pressure,max_windspeed,max_gustspeed,max_heat_index,Date
45.5,36,15.3,30.2,7.7,11.0,226,0.0,6.44,0.0,62.7,22.1,89,13,30.29,30.203000000000003,25.3,35.7,62.7,2020-11-01
48.0,31,15.5,30.2,4.3,6.2,246,0.0,6.44,0.0,68.0,32.1,60,9,30.253,30.029,16.1,21.9,68.0,2020-11-02
55.7,23,16.8,29.9,6.0,8.8,238,0.0,6.44,0.0,67.0,38.4,45,12,30.028000000000002,29.82,18.4,28.8,67.0,2020-11-03
54.5,35,26.7,29.9,9.0,13.0,232,0.0,6.44,0.0,63.2,44.0,46,23,30.064,29.819000000000003,20.7,27.6,63.2,2020-11-04
54.0,26,18.9,30.0,6.9,10.1,240,0.0,6.44,0.0,67.7,37.0,41,14,30.06,29.794,16.1,24.2,67.7,2020-11-05
53.1,27,18.3,29.6,4.9,7.6,250,0.0,6.44,0.0,64.9,36.8,51,13,29.805,29.488000000000003,18.4,29.9,64.9,2020-11-06
44.2,53,27.1,29.4,2.4,3.7,267,0.0,6.44,0.0,61.7,29.6,76,27,29.538,29.116999999999997,12.7,17.3,61.7,2020-11-07
35.1,52,17.8,29.3,8.6,12.7,238,0.01,6.45,0.01,47.3,24.3,86,27,29.543000000000003,28.964000000000002,26.5,35.7,47.3,2020-11-08
25.5,76,18.8,29.7,3.4,5.3,340,0.01,6.45,0.0,31.8,18.8,91,52,29.839000000000002,29.522,16.1,24.2,31.8,2020-11-09
25.8,46,7.7,29.8,14.2,20.8,239,0.01,6.45,0.0,30.8,22.9,56,37,29.921999999999997,29.726,31.1,46.0,30.8,2020-11-10
26.4,53,11.1,29.9,6.6,9.7,228,0.01,6.45,0.0,37.8,21.6,83,30,29.989,29.825,18.4,26.5,37.8,2020-11-11
26.6,41,3.7,30.0,8.1,12.6,238,0.01,6.45,0.0,33.9,21.1,84,20,30.135,29.891,27.6,46.0,33.9,2020-11-12
38.2,27,5.7,29.8,15.8,23.0,239,0.01,6.45,0.0,45.8,29.7,66,15,30.055999999999997,29.497,31.1,50.6,45.8,2020-11-13
25.6,61,13.2,29.7,7.8,12.6,257,0.01,6.45,0.0,33.6,19.6,92,39,30.044,29.386999999999997,29.9,43.7,33.6,2020-11-14
34.4,43,13.9,30.1,15.8,24.2,245,0.01,6.45,0.0,42.4,20.6,48,33,30.099,29.983,31.1,50.6,42.4,2020-11-15
45.8,39,21.9,30.1,11.4,16.8,238,0.01,6.45,0.0,55.1,36.0,56,28,30.141,29.995,28.8,46.0,55.1,2020-11-16
53.8,19,10.3,29.9,10.4,14.9,234,0.01,6.45,0.0,64.2,45.4,32,6,30.098000000000003,29.693,23.0,34.5,64.2,2020-11-17
55.1,28,22.6,29.6,15.6,22.7,233,0.01,6.45,0.0,61.3,52.0,33,22,29.701,29.496,31.1,47.2,61.3,2020-11-18
48.3,37,22.3,29.7,8.5,12.6,232,0.01,6.45,0.0,55.1,29.4,72,24,29.919,29.503,24.2,39.1,55.1,2020-11-19
32.0,57,17.3,30.2,2.4,4.0,31,0.01,6.45,0.0,41.5,20.3,79,32,30.368000000000002,29.921,12.7,15.0,41.5,2020-11-20
31.7,46,9.9,30.2,4.4,7.0,264,0.01,6.45,0.0,50.6,16.1,80,15,30.344,30.163,17.3,28.8,50.6,2020-11-21
26.2,50,7.7,30.2,2.5,4.3,330,0.01,6.45,0.0,42.8,8.8,81,17,30.361,29.991999999999997,20.7,28.8,42.8,2020-11-22
44.3,50,25.9,29.6,9.2,13.9,239,0.01,6.45,0.0,52.9,34.3,84,29,30.024,29.464000000000002,26.5,38.0,52.9,2020-11-23
28.3,79,22.3,29.7,2.6,4.1,253,0.26,6.7,0.01,35.4,21.0,93,49,29.93,29.479,17.3,26.5,35.4,2020-11-24
35.1,37,10.3,29.8,9.1,13.3,238,0.26,6.7,0.0,43.2,19.2,72,25,29.927,29.733,23.0,33.4,43.2,2020-11-25
29.4,61,16.8,29.9,4.7,6.9,224,0.26,6.7,0.0,37.6,17.2,91,42,30.136,29.785999999999998,15.0,20.7,37.6,2020-11-26
21.4,69,10.9,30.3,0.7,1.5,22,0.26,6.7,0.0,45.5,6.6,90,17,30.34,30.134,5.8,9.2,45.5,2020-11-27
27.6,54,9.7,30.2,1.5,2.5,325,0.26,6.7,0.0,52.6,8.3,88,15,30.339000000000002,30.109,9.2,13.8,52.6,2020-11-28
22.0,60,9.7,30.4,1.4,2.6,70,0.26,6.7,0.0,33.3,6.1,85,43,30.533,30.179000000000002,11.5,16.1,33.3,2020-11-29
31.5,31,1.8,30.2,9.3,13.3,233,0.26,6.7,0.0,46.0,3.7,86,10,30.528000000000002,29.908,23.0,32.2,46.0,2020-11-30
